ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name,ccdc_committee_id,calaccess_committee_id,committee_name,committee_position
ocd-contest/9fb6a199-7520-433c-a290-83e016a9d389,1376142,72,PROPOSITION 053 - REVENUE BONDS. STATEWIDE VOTER APPROVAL. INITIATIVE CONSTITUTIONAL AMENDMENT.,392,1389930,"NO ON 53, NEIGHBORS DEFENDING LOCAL CONTROL",OPPOSE
ocd-contest/e0c5f9f0-63a9-4c15-9a5c-017e20ac15bc,1381642,73,PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,396,1389997,CALIFORNIA COMMON CAUSE -- YES ON 54 AND 59 (NONPROFIT 501(C)(4),SUPPORT
ocd-contest/e0c5f9f0-63a9-4c15-9a5c-017e20ac15bc,1381642,73,PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,393,1381029,"YES ON 54 - VOTERS FIRST, NOT SPECIAL INTERESTS - SPONSORED BY HOLD POLITICIANS ACCOUNTABLE",SUPPORT
ocd-contest/e0c5f9f0-63a9-4c15-9a5c-017e20ac15bc,1381642,73,PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,394,1386494,"PROTEUS ACTION LEAGUE NON-PROFIT 501 (C)(4) ORGANIZATION, OPPOSING MEASURE 66 AND SUPPORTING MEASURES 54 AND 59",SUPPORT
ocd-contest/e0c5f9f0-63a9-4c15-9a5c-017e20ac15bc,1381642,73,PROPOSITION 054 - LEGISLATURE. LEGISLATION AND PROCEEDINGS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,395,1385928,CALIFORNIANS FOR AN EFFECTIVE LEGISLATURE,OPPOSE
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,397,1384591,"MILLION VOTER PROJECT ACTION FUND - YES ON 55 AND 57, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,398,1381382,"YES ON 55 - CALIFORNIANS FOR BUDGET STABILITY, SPONSORED BY TEACHERS, HEALTH CARE PROVIDERS, DOCTORS AND LABOR ORGANIZATIONS",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,399,1391170,"MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,400,1390602,"COMMON SENSE KIDS ACTION, INC., YES ON PROPS. 55 AND 56 (NONPROFIT 501 (C) (4))",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,401,1385538,"CALIFORNIA KIDS CAMPAIGN, YES ON PROPS 55 & 56, SPONSORED AND MAJOR FUNDING BY COMMON SENSE KIDS ACTION, INC.",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,402,1385886,"NO ON PROPOSITION 55, CALIFORNIA'S FUTURE PAC, SPONSORED BY THE KERSTEN INSTITUTE FOR GOVERNANCE & PUBLIC POLICY",OPPOSE
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,403,1372760,"PICO CALIFORNIA - YES ON 55, 56, AND 57 (NON PROFIT 501 (C) (3))",SUPPORT
ocd-contest/446ec3da-7de1-45f0-9f97-228e53c6a9f6,1382647,74,PROPOSITION 055 - TAX EXTENSION TO FUND EDUCATION AND HEALTHCARE. INITIATIVE CONSTITUTIONAL AMENDMENT.,404,931704,"UNITED TEACHERS LOS ANGELES-POLITICAL ACTION COUNCIL OF EDUCATORS (PACE) ISSUES, A COMMITTEE FOR PROPOSITIONS 55 AND 58",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",405,1388865,"PROTECT SMALL BUSINESS AND SMOKE FREE ALTERNATIVES, NO ON 56; SPONSORED BY SMOKE-FREE ALTERNATIVES TRADE ASSOCIATION",OPPOSE
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",406,1383858,"FIGHT CANCER - YES ON 56, SPONSORED BY AMERICAN CANCER SOCIETY, INC. AND AMERICAN CANCER SOCIETY CANCER ACTION NETWORK, INC.",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",407,1386637,"NO ON 56 - STOP THE SPECIAL INTEREST TAX GRAB. MAJOR FUNDING BY PHILIP MORRIS USA INC. AND R.J. REYNOLDS TOBACCO COMPANY, WITH A COALITION OF TAXPAYERS, EDUCATORS, HEALTHCARE PROFESSIONALS, LAW ...",OPPOSE
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",408,1377991,"YES ON 56 - SAVES LIVES CALIFORNIA, A COALITION OF DOCTORS, DENTISTS, HEALTH PLANS, LABOR, HOSPITALS, LAW ENFORCEMENT, AND NON-PROFIT HEALTH ADVOCATE ORGANIZATIONS",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",409,1384591,"MILLION VOTER PROJECT ACTION FUND - YES ON 55 AND 57, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",410,1385538,"CALIFORNIA KIDS CAMPAIGN, YES ON PROPS 55 & 56, SPONSORED AND MAJOR FUNDING BY COMMON SENSE KIDS ACTION, INC.",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",411,1372760,"PICO CALIFORNIA - YES ON 55, 56, AND 57 (NON PROFIT 501 (C) (3))",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",412,1391170,"MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",413,1389668,YES ON 56 STOP CANCER - PLANNED PARENTHOOD OF ORANGE AND SAN BERNARDINO COUNTIES' COMMUNITY ACTION FUND (NON PROFIT 501(C)(4)),SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",414,1389484,"CALIFORNIA CITIZENS AGAINST SPECIAL INTERESTS AND WASTEFUL TAXES, NO ON PROP. 56",OPPOSE
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",415,1388518,YES ON 56 STOP CANCER - PLANNED PARENTHOOD ADVOCATES MAR MONTE (NON PROFIT 501 (C)(4)),SUPPORT
ocd-contest/c2efe0d3-e9f4-4dfd-a0b7-a35757ef4ae9,1381640,75,"PROPOSITION 056 - CIGARETTE TAX TO FUND HEALTHCARE, TOBACCO USE PREVENTION, RESEARCH, AND LAW ENFORCEMENT. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.",416,1390602,"COMMON SENSE KIDS ACTION, INC., YES ON PROPS. 55 AND 56 (NONPROFIT 501 (C) (4))",SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,417,1385745,FUND FOR POLICY REFORM (NONPROFIT 501(C)(4)),SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,418,1392066,FWD.US (NONPROFIT 501(C)(4)) IN SUPPORT OF PROPOSITION 57 WITH HELP FROM CITIZENS FOR PUBLIC SAFETY AND OPPORTUNITY,SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,419,1382912,"YES ON PROP. 57, CALIFORNIANS AND GOVERNOR BROWN FOR PUBLIC SAFETY AND REHABILITATION",SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,420,1384591,"MILLION VOTER PROJECT ACTION FUND - YES ON 55 AND 57, SPONSORED BY SOCIAL JUSTICE ORGANIZATIONS",SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,421,1387575,CIVIC PARTICIPATION ACTION FUND - YES ON 57 (NONPROFIT 501(C)(4)),SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,422,1386627,NO ON 57 - STOP EARLY RELEASE OF VIOLENT CRIMINALS (SERVC),OPPOSE
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,423,1387648,CALIFORNIA CALLS ACTION FUND - YES ON 57 (NONPROFIT 501(C)(4)),SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,424,1391170,"MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,425,1391327,OPEN PHILANTHROPY ACTION FUND YES ON 57 (NONPROFIT 501(C)(4)),SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,426,1336580,"LOS ANGELES POLICE PROTECTIVE LEAGUE ISSUES PAC - YES ON 66, NO ON 57",OPPOSE
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,427,1378703,CALIFORNIA CALLS ACTION FUND (NONPROFIT 501(C)(4)),SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,428,1346267,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION ISSUES COMMITTEE (NON-PROFIT 501 (C) 5): YES ON PROPOSITION 57,SUPPORT
ocd-contest/d2dc34aa-0d9e-4a71-a40d-1aff71fcaf34,1383319,76,PROPOSITION 057 - CRIMINAL SENTENCES. JUVENILE CRIMINAL PROCEEDINGS AND SENTENCING. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.,429,1372760,"PICO CALIFORNIA - YES ON 55, 56, AND 57 (NON PROFIT 501 (C) (3))",SUPPORT
ocd-contest/7476a546-1615-41f7-8c7a-f07256c81303,1382395,77,"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",430,1386477,"YES ON 58, CALIFORNIANS FOR ENGLISH PROFICIENCY SPONSORED BY TEACHERS AND SERVICE EMPLOYEES ORGANIZATIONS",SUPPORT
ocd-contest/7476a546-1615-41f7-8c7a-f07256c81303,1382395,77,"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",431,1374153,"LARA BALLOT MEASURE COMMITTEE; CALIFORNIANS FOR A 21ST CENTURY ECONOMY - YES ON 58, A RICARDO",SUPPORT
ocd-contest/7476a546-1615-41f7-8c7a-f07256c81303,1382395,77,"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",432,1391170,"MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",SUPPORT
ocd-contest/7476a546-1615-41f7-8c7a-f07256c81303,1382395,77,"PROPOSITION 058 - SB 1174 (CHAPTER 753, STATUTES OF 2014), LARA. ENGLISH LANGUAGE EDUCATION",433,931704,"UNITED TEACHERS LOS ANGELES-POLITICAL ACTION COUNCIL OF EDUCATORS (PACE) ISSUES, A COMMITTEE FOR PROPOSITIONS 55 AND 58",SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",434,1387856,MAKE THEM LISTEN - YES ON 59,SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",435,1381423,"YES ON 59, CALIFORNIA CLEAN MONEY ACTION FUND TO OVERTURN CITIZENS UNITED (NON PROFIT 501(C)4)",SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",436,1386494,"PROTEUS ACTION LEAGUE NON-PROFIT 501 (C)(4) ORGANIZATION, OPPOSING MEASURE 66 AND SUPPORTING MEASURES 54 AND 59",SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",437,1360075,CALIFORNIA MOVE TO AMEND,SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",438,1389997,CALIFORNIA COMMON CAUSE -- YES ON 54 AND 59 (NONPROFIT 501(C)(4),SUPPORT
ocd-contest/fbffc731-c1a5-4fd8-b7ce-f0623a278ab5,1386783,78,"PROPOSITION 059- SB 254 (CHAPTER 20, STATUTES OF 2016), ALLEN. CAMPAIGN FINANCE: VOTER INSTRUCTION",439,1386909,"OVERTURN CITIZENS UNITED, YES ON 59",SUPPORT
ocd-contest/9cee6ef5-cd54-4423-9c29-66c7823c1c3a,1376195,79,PROPOSITION 060- ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,440,1356566,"YES ON PROP 60, FOR ADULT INDUSTRY RESPONSIBILITY (FAIR) COMMITTEE, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION",SUPPORT
ocd-contest/9cee6ef5-cd54-4423-9c29-66c7823c1c3a,1376195,79,PROPOSITION 060- ADULT FILMS. CONDOMS. HEALTH REQUIREMENTS. INITIATIVE STATUTE.,441,1385139,"NO ON PROPOSITION 60, CALIFORNIANS AGAINST WORKER HARASSMENT, SPONSORED BY THE FREE SPEECH COALITION",OPPOSE
ocd-contest/6b264272-925d-4d31-a69f-4543fa63a819,1377343,80,PROPOSITION 061- STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,442,1379198,"NO ON PROP 61 - CALIFORNIANS AGAINST THE DECEPTIVE RX PROPOSITION, A COALITION OF VETERANS DOCTORS PATIENT ADVOCATES SENIORS TAXPAYERS AND MEMBERS OF PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMER.",OPPOSE
ocd-contest/6b264272-925d-4d31-a69f-4543fa63a819,1377343,80,PROPOSITION 061- STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,443,1376791,"YES ON PROP 61, CALIFORNIANS FOR LOWER DRUG PRICES, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION AND CALIFORNIA NURSES ASSOCIATION PAC",SUPPORT
ocd-contest/6b264272-925d-4d31-a69f-4543fa63a819,1377343,80,PROPOSITION 061- STATE PRESCRIPTION DRUG PURCHASES. PRICING STANDARDS. INITIATIVE STATUTE.,444,1387641,"CONSUMER WATCHDOG CAMPAIGN - YES ON 61, MAJOR FUNDING BY YES ON PROP 61, CALIFORNIANS FOR LOWER DRUG PRICES, WITH MAJOR FUNDING BY AIDS HEALTHCARE FOUNDATION AND CALIFORNIA NURSES ASSOCIATION PAC",SUPPORT
ocd-contest/cad98dde-416b-4cb3-8565-c1e8079511b3,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,445,1380590,"YES ON 62, NO ON 66. REPLACE THE COSTLY, FAILED DEATH PENALTY SYSTEM. SPONSORED BY TAXPAYERS FOR SENTENCING REFORM",SUPPORT
ocd-contest/cad98dde-416b-4cb3-8565-c1e8079511b3,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,446,1302403,"CALIFORNIA CORRECTIONAL PEACE OFFICERS ASSOCIATION TRUTH IN AMERICAN GOVERNMENT FUND; NO ON PROPOSITION 62, YES ON PROPOSITION 66 (NON-PROFIT 501 (C) 5)",OPPOSE
ocd-contest/cad98dde-416b-4cb3-8565-c1e8079511b3,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,447,1346266,"CALIFORNIANS TO MEND, NOT END, THE DEATH PENALTY. NO ON PROP 62, YES ON PROP 66. SUPPORTED BY PROSECUTORS, LAW ENFORCEMENT, AND FAMILIES OF VICTIMS.",OPPOSE
ocd-contest/cad98dde-416b-4cb3-8565-c1e8079511b3,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,448,1391170,"MILLION VOTER PROJECT ACTION FUND - YES ON 55, 56, 57, 58, 62, AND NO ON 66, SPONSORED BY SOCIAL JUSTICE ADVOCATES AND ORGANIZATIONS",SUPPORT
ocd-contest/cad98dde-416b-4cb3-8565-c1e8079511b3,1381268,81,PROPOSITION 062- DEATH PENALTY. INITIATIVE STATUTE.,449,1385745,FUND FOR POLICY REFORM (NONPROFIT 501(C)(4)),SUPPORT
